claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,fraud,claim_year,claim_day,latitude,longitude,unemp_rate,claim_day_monday,claim_day_saturday,claim_day_sunday,claim_day_thursday,claim_day_tuesday,claim_day_wednesday,accident_site_local,accident_site_parking_lot,channel_online,channel_phone,vehicle_category_large,vehicle_category_medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_month_august,claim_month_december,claim_month_february,claim_month_january,claim_month_july,claim_month_june,claim_month_march,claim_month_may,claim_month_november,claim_month_october,claim_month_september,state_co,state_ia,state_pa,state_va
1,46.0,M,1.0,85,38301.0,1,1,Rent,80006,12/16/2016,1,0.0,74,0,7530.940993000001,9.0,12885.45235,16161.33381,0,2016,16,39.82,-105.1,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,21.0,F,0.0,75,30445.0,0,1,Rent,15021,2/12/2015,1,1.0,79,0,2966.024895,4.0,29429.45218,28691.964219999998,0,2015,12,40.38,-80.39,5.4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4,49.0,F,0.0,87,38923.0,0,1,Own,20158,12/6/2016,0,0.0,0,0,6283.888333,3.0,21701.18195,22090.94758,1,2016,6,39.13,-77.66,4.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,58.0,F,1.0,58,40605.0,1,0,Own,15024,5/5/2016,3,0.0,99,1,6169.747993999999,4.0,13198.27344,38329.581060000004,1,2016,5,40.54,-79.8,5.4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,38.0,M,1.0,95,36380.0,1,0,Rent,50034,10/27/2015,0,1.0,7,0,4541.38715,7.0,38060.21122,25876.56319,0,2015,27,42.47,-93.64,3.7,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,56.0,F,0.0,72,40240.0,0,0,Own,50047,11/16/2016,0,0.0,64,0,5388.645056,4.0,17688.204980000002,15234.082040000001,1,2016,16,41.51,-93.48,3.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,27.0,M,1.0,80,32952.0,1,0,Rent,15001,3/14/2015,0,0.0,50,1,8960.072398999999,7.0,26411.536819999998,28994.53868,0,2015,14,40.61,-80.25,5.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,40.0,M,1.0,79,36891.0,1,1,Own,80016,1/7/2016,5,0.0,95,1,13844.3649,8.0,11355.270129999999,34045.83028,0,2016,7,39.6,-104.71,3.5,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,45.0,F,0.0,86,38069.0,0,1,Own,15024,3/31/2015,0,0.0,3,0,6038.5015140000005,5.0,49267.97071,23206.50804,0,2015,31,40.54,-79.8,5.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,31.0,M,1.0,80,34324.0,0,1,Rent,85032,9/3/2015,0,0.0,9,0,5869.9478579999995,5.0,19929.78577,37277.7591,0,2015,3,33.62,-112.0,5.9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
