claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,fraud,claim_year,claim_day,latitude,longitude,state,claim_day_monday,claim_day_saturday,claim_day_sunday,claim_day_thursday,claim_day_tuesday,claim_day_wednesday,accident_site_local,accident_site_parking_lot,channel_online,channel_phone,vehicle_category_large,vehicle_category_medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_month_august,claim_month_december,claim_month_february,claim_month_january,claim_month_july,claim_month_june,claim_month_march,claim_month_may,claim_month_november,claim_month_october,claim_month_september,Unem_rate
1,46,M,1,85,38301,1,1,Rent,80006,12/16/2016,1,0,74,0,7530.940993,9,12885.45235,16161.33381,0,2016,16,39.82,-105.1,CO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.9
3,21,F,0,75,30445,0,1,Rent,15021,2/12/2015,1,1,79,0,2966.024895,4,29429.45218,28691.96422,0,2015,12,40.38,-80.39,PA,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.4
4,49,F,0,87,38923,0,1,Own,20158,12/6/2016,0,0,0,0,6283.888333,3,21701.18195,22090.94758,1,2016,6,39.13,-77.66,VA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.1
5,58,F,1,58,40605,1,0,Own,15024,5/5/2016,3,0,99,1,6169.747994,4,13198.27344,38329.58106,1,2016,5,40.54,-79.8,PA,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4
6,38,M,1,95,36380,1,0,Rent,50034,10/27/2015,0,1,7,0,4541.38715,7,38060.21122,25876.56319,0,2015,27,42.47,-93.64,IA,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7
7,56,F,0,72,40240,0,0,Own,50047,11/16/2016,0,0,64,0,5388.645056,4,17688.20498,15234.08204,1,2016,16,41.51,-93.48,IA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
8,27,M,1,80,32952,1,0,Rent,15001,3/14/2015,0,0,50,1,8960.072399,7,26411.53682,28994.53868,0,2015,14,40.61,-80.25,PA,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4
10,40,M,1,79,36891,1,1,Own,80016,1/7/2016,5,0,95,1,13844.3649,8,11355.27013,34045.83028,0,2016,7,39.6,-104.71,CO,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5
12,45,F,0,86,38069,0,1,Own,15024,3/31/2015,0,0,3,0,6038.501514,5,49267.97071,23206.50804,0,2015,31,40.54,-79.8,PA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4
15,31,M,1,80,34324,0,1,Rent,85032,9/3/2015,0,0,9,0,5869.947858,5,19929.78577,37277.7591,0,2015,3,33.62,-112,AZ,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.9
16,53,F,1,76,39699,1,0,Own,15057,5/14/2016,0,0,19,0,8201.183032,6,24156.55616,14259.72587,0,2016,14,40.37,-80.23,PA,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4
17,59,F,1,93,40753,1,1,Own,50033,2/12/2015,0,1,8,1,6051.751915,3,7697.895045,6736.245994,0,2015,12,41.36,-93.79,IA,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.9
19,25,M,1,75,32194,1,0,Rent,80003,7/11/2015,1,0,99,0,4225.808816,5,18676.98753,5011.824995,0,2015,11,39.83,-105.06,CO,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.8
20,39,F,0,35,36635,0,1,Rent,15035,4/20/2015,0,0,98,1,4650.054155,6,17917.04586,13752.12455,1,2015,20,40.38,-79.81,PA,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
