Series ID,Year,Period,Label,Value
LASST040000000000003,2015,M01,2015 Jan,6.4
LASST040000000000003,2015,M02,2015 Feb,6.3
LASST040000000000003,2015,M03,2015 Mar,6.3
LASST040000000000003,2015,M04,2015 Apr,6.2
LASST040000000000003,2015,M05,2015 May,6.1
LASST040000000000003,2015,M06,2015 Jun,6.0
LASST040000000000003,2015,M07,2015 Jul,6.0
LASST040000000000003,2015,M08,2015 Aug,6.0
LASST040000000000003,2015,M09,2015 Sep,5.9
LASST040000000000003,2015,M10,2015 Oct,5.8
LASST040000000000003,2015,M11,2015 Nov,5.8
LASST040000000000003,2015,M12,2015 Dec,5.7
LASST040000000000003,2016,M01,2016 Jan,5.7
LASST040000000000003,2016,M02,2016 Feb,5.6
LASST040000000000003,2016,M03,2016 Mar,5.5
LASST040000000000003,2016,M04,2016 Apr,5.5
LASST040000000000003,2016,M05,2016 May,5.4
LASST040000000000003,2016,M06,2016 Jun,5.4
LASST040000000000003,2016,M07,2016 Jul,5.3
LASST040000000000003,2016,M08,2016 Aug,5.3
LASST040000000000003,2016,M09,2016 Sep,5.2
LASST040000000000003,2016,M10,2016 Oct,5.2
LASST040000000000003,2016,M11,2016 Nov,5.2
LASST040000000000003,2016,M12,2016 Dec,5.2
