Series ID,Year,Period,Label,Value
LASST510000000000003,2015,M01,2015 Jan,4.9
LASST510000000000003,2015,M02,2015 Feb,4.8
LASST510000000000003,2015,M03,2015 Mar,4.8
LASST510000000000003,2015,M04,2015 Apr,4.7
LASST510000000000003,2015,M05,2015 May,4.6
LASST510000000000003,2015,M06,2015 Jun,4.5
LASST510000000000003,2015,M07,2015 Jul,4.4
LASST510000000000003,2015,M08,2015 Aug,4.3
LASST510000000000003,2015,M09,2015 Sep,4.2
LASST510000000000003,2015,M10,2015 Oct,4.1
LASST510000000000003,2015,M11,2015 Nov,4.1
LASST510000000000003,2015,M12,2015 Dec,4.1
LASST510000000000003,2016,M01,2016 Jan,4.1
LASST510000000000003,2016,M02,2016 Feb,4.0
LASST510000000000003,2016,M03,2016 Mar,4.0
LASST510000000000003,2016,M04,2016 Apr,4.0
LASST510000000000003,2016,M05,2016 May,4.0
LASST510000000000003,2016,M06,2016 Jun,4.1
LASST510000000000003,2016,M07,2016 Jul,4.1
LASST510000000000003,2016,M08,2016 Aug,4.2
LASST510000000000003,2016,M09,2016 Sep,4.2
LASST510000000000003,2016,M10,2016 Oct,4.2
LASST510000000000003,2016,M11,2016 Nov,4.1
LASST510000000000003,2016,M12,2016 Dec,4.1
